Trakheesi,Ejari ID,Building,Area,Unit,Bedrooms,Size,Balcony,Parking,Status,Sale History,Rental Contracts
71298356523,2102414711,"Burj Crown, Downtown Dubai",Downtown Dubai,1501,2,"1,005 Sqft",41.66 Sqft,L5-682,Rented,"• May, 2021 — AED 1,889,888 — Developer","• Mar, 2025 → Mar, 2026 — AED 171,000 | • Mar, 2024 → Mar, 2025 — AED 165,000"
71298356618,,"Burj Crown, Downtown Dubai",Downtown Dubai,1502,1,578 Sqft,41.66 Sqft,L6-796,Available,"• Feb, 2020 — AED 1,095,888 — Developer",• No rental contracts found
71298356713,2102354898,"Burj Crown, Downtown Dubai",Downtown Dubai,1503,2,"1,071 Sqft",85.14 Sqft,L5-656,Rented,"• Nov, 2023 — AED 2,600,000 — Individual | • Dec, 2020 — AED 1,824,888 — Developer","• Apr, 2025 → Mar, 2026 — AED 150,000 | • Apr, 2024 → Mar, 2025 — AED 145,000"
71298356808,2102372958,"Burj Crown, Downtown Dubai",Downtown Dubai,1504,2,"1,072 Sqft",85.14 Sqft,L4-612,Rented,"• Aug, 2023 — AED 2,600,000 — Individual | • Mar, 2020 — AED 2,107,888 — Developer","• Sep, 2025 → Aug, 2026 — AED 175,000 | • Feb, 2024 → Feb, 2025 — AED 210,000"
71298356903,,"Burj Crown, Downtown Dubai",Downtown Dubai,1505,3,"1,356 Sqft",83.20 Sqft,"B1-152, B1-153",Available,"• Feb, 2024 — AED 3,700,000 — Individual | • Jun, 2021 — AED 1,924,416 — Individual | • Mar, 2020 — AED 2,565,888 — Developer",• No rental contracts found
71298356998,2103821891,"Burj Crown, Downtown Dubai",Downtown Dubai,1506,1,638 Sqft,68.14 Sqft,L4-534,Rented,"• Feb, 2020 — AED 1,237,888 — Developer","• Jun, 2025 → Jun, 2026 — AED 110,000 | • Jun, 2024 → Jun, 2025 — AED 120,000"
71298357093,2104084228,"Burj Crown, Downtown Dubai",Downtown Dubai,1507,3,"1,356 Sqft",83.20 Sqft,"B1-183, B1-184",Available,"• Dec, 2021 — AED 3,005,888 — Developer",• No rental contracts found
71298357188,2105068039,"Burj Crown, Downtown Dubai",Downtown Dubai,1508,2,"1,072 Sqft",85.14 Sqft,L4-556,Rented,"• Jan, 2022 — AED 2,654,888 — Developer","• Sep, 2025 → Sep, 2026 — AED 185,000"
71298357283,2102319289,"Burj Crown, Downtown Dubai",Downtown Dubai,1509,2,"1,071 Sqft",85.14 Sqft,L5-657,Rented,"• Jun, 2021 — AED 1,862,888 — Developer","• Apr, 2026 → Apr, 2027 — AED 170,000 | • Apr, 2025 → Apr, 2026 — AED 150,000 | • Jan, 2025 → Apr, 2025 — AED 42,000 | • Jan, 2024 → Jan, 2025 — AED 170,000"
71298357378,,"Burj Crown, Downtown Dubai",Downtown Dubai,1510,1,578 Sqft,41.66 Sqft,L6-795,Available,"• Feb, 2020 — AED 1,095,888 — Developer",• No rental contracts found
